Name,wikipedia,Hex,Red,Green,Blue,Hue,Saturation,Light,Saturation(HSV),Value
Very light azure,https://en.wikipedia.org/wiki/Azure_(color),#74BBFB,45%,73%,98%,208°,94%,72%,54%,98%
Very light blue,https://en.wikipedia.org/wiki/Light_blue,#6666FF,40%,40%,100%,240°,100%,70%,60%,100%
Very light malachite green,https://en.wikipedia.org/wiki/Malachite_green,#64E986,39%,91%,53%,135°,75%,65%,57%,91%
Very light tangelo,https://en.wikipedia.org/wiki/Tangelo,#FFB077,100%,69%,47%,25°,100%,73%,53%,100%
Very pale orange,https://en.wikipedia.org/wiki/Shades_of_orange,#FFDFBF,100%,87%,75%,30°,100%,88%,25%,100%
Very pale yellow,https://en.wikipedia.org/wiki/Shades_of_yellow,#FFFFBF,100%,100%,75%,60°,100%,88%,25%,100%
Violet,https://en.wikipedia.org/wiki/Violet_(color),#8F00FF,56%,0%,100%,274°,100%,50%,100%,100%
Violet (color wheel),https://en.wikipedia.org/wiki/Shades_of_violet#Color_wheel_violet,#7F00FF,50%,0%,100%,270°,100%,50%,100%,100%
Violet (RYB),https://en.wikipedia.org/wiki/RYB_color_model,#8601AF,53%,0%,69%,286°,99%,35%,99%,69%
Violet (web),https://en.wikipedia.org/wiki/Shades_of_violet#Web_color_.22violet.22,#EE82EE,93%,51%,93%,300°,76%,72%,45%,93%
Violet-blue,https://en.wikipedia.org/wiki/Indigo#Violet-blue,#324AB2,20%,29%,70%,229°,56%,45%,72%,70%
Violet-red,https://en.wikipedia.org/wiki/Red-violet#Violet-red,#F75394,97%,33%,58%,336°,91%,65%,66%,97%
Viridian,https://en.wikipedia.org/wiki/Viridian,#40826D,25%,51%,43%,161°,34%,38%,51%,51%
Viridian green,https://en.wikipedia.org/wiki/Viridian#Viridian_green,#009698,0%,59%,60%,181°,100%,30%,100%,60%
Vista blue,https://en.wikipedia.org/wiki/Azure_(color)#Vista_blue,#7C9ED9,49%,62%,85%,218°,55%,67%,43%,85%
Vivid amber,https://en.wikipedia.org/wiki/Amber_(color),#CC9900,80%,60%,0%,45°,100%,40%,100%,80%
Vivid auburn,https://en.wikipedia.org/wiki/Auburn_hair#Vivid_Auburn,#922724,57%,15%,14%,2°,60%,36%,75%,57%
Vivid burgundy,https://en.wikipedia.org/wiki/Burgundy_(color)#Vivid_burgundy,#9F1D35,62%,11%,21%,349°,69%,37%,82%,62%
Vivid cerise,https://en.wikipedia.org/wiki/Cerise_(color)#Vivid_cerise,#DA1D81,85%,11%,51%,328°,77%,48%,87%,85%
Vivid cerulean,https://en.wikipedia.org/wiki/Cerulean,#00AAEE,0%,67%,93%,197°,100%,47%,100%,93%
Vivid crimson,https://en.wikipedia.org/wiki/Crimson,#CC0033,80%,0%,20%,345°,100%,40%,100%,80%
Vivid gamboge,https://en.wikipedia.org/wiki/Gamboge,#FF9900,100%,60%,0%,36°,100%,50%,100%,100%
Vivid lime green,https://en.wikipedia.org/wiki/Lime_(color),#A6D608,65%,84%,3%,74°,93%,44%,96%,84%
Vivid Malachite,,#00CC33,0%,80%,20%,135°,100%,40%,100%,80%
Vivid mulberry,https://en.wikipedia.org/wiki/Mulberry_(color),#B80CE3,72%,5%,89%,288°,90%,47%,95%,89%
Vivid orange,https://en.wikipedia.org/wiki/Shades_of_orange,#FF5F00,100%,37%,0%,22°,100%,50%,100%,100%
Vivid orange peel,https://en.wikipedia.org/wiki/Shades_of_orange,#FFA000,100%,63%,0%,18°,100%,50%,100%,100%
Vivid orchid,https://en.wikipedia.org/wiki/Orchid_(color)#Vivid_orchid,#CC00FF,80%,0%,100%,288°,100%,50%,100%,100%
Vivid raspberry,https://en.wikipedia.org/wiki/Raspberry_(color),#FF006C,100%,0%,42%,335°,100%,50%,100%,100%
Vivid red,https://en.wikipedia.org/wiki/Shades_of_red,#F70D1A,97%,5%,10%,357°,94%,51%,95%,97%
Vivid red-tangelo,https://en.wikipedia.org/wiki/Tangelo,#DF6124,87%,38%,14%,20°,75%,51%,84%,87%
Vivid sky blue,https://en.wikipedia.org/wiki/Sky_blue#Vivid_sky_blue,#00CCFF,0%,80%,100%,192°,100%,50%,100%,100%
Vivid tangelo,https://en.wikipedia.org/wiki/Tangelo,#F07427,94%,45%,15%,23°,87%,55%,84%,94%
Vivid tangerine,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#FFA089,100%,63%,54%,12°,100%,77%,46%,100%
Vivid vermilion,https://en.wikipedia.org/wiki/Vermilion,#E56024,90%,38%,14%,19°,79%,52%,84%,90%
Vivid violet,https://en.wikipedia.org/wiki/Shades_of_violet#Vivid_violet,#9F00FF,62%,0%,100%,277°,100%,50%,100%,100%
Vivid yellow,https://en.wikipedia.org/wiki/Shades_of_yellow,#FFE302,100%,89%,1%,53°,100%,50%,99%,100%
Volt,https://en.wikipedia.org/wiki/Lime_(color)#Volt,#CEFF00,80%,100%,0%,72°,100%,50%,100%,100%
Wageningen Green,https://en.wikipedia.org/wiki/Wageningen_University_and_Research_Centre,#34B233,20%,70%,20%,120°,56%,45%,71%,70%
Warm black,https://en.wikipedia.org/wiki/Rich_black,#004242,0%,26%,26%,180°,100%,13%,100%,25%
Waterspout,https://en.wikipedia.org/wiki/Waterspout,#A4F4F9,64%,96%,98%,184°,88%,81%,34%,98%
Weldon Blue,,#7C98AB,49%,60%,67%,204°,22%,58%,28%,67%
Wenge,https://en.wikipedia.org/wiki/Wenge_(colour),#645452,39%,33%,32%,7°,10%,36%,18%,39%
Wheat,https://en.wikipedia.org/wiki/Wheat_(color),#F5DEB3,96%,87%,70%,39°,77%,83%,27%,96%
White,https://en.wikipedia.org/wiki/White,#FFFFFF,100%,100%,100%,—°,0%,100%,0%,100%
White smoke,https://en.wikipedia.org/wiki/Smoke,#F5F5F5,96%,96%,96%,—°,0%,96%,0%,96%
Wild blue yonder,https://en.wikipedia.org/wiki/Air_Force_blue#Wild_blue_yonder,#A2ADD0,64%,68%,82%,226°,33%,73%,22%,82%
Wild orchid,https://en.wikipedia.org/wiki/Orchid_(color)#Wild_orchid,#D470A2,83%,44%,64%,330°,54%,64%,47%,83%
Wild Strawberry,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#FF43A4,100%,26%,64%,329°,100%,63%,74%,100%
Wild watermelon,https://en.wikipedia.org/wiki/Carmine_(color)#Ultra_red,#FC6C85,99%,42%,52%,350°,96%,71%,57%,99%
Willpower orange,https://en.wikipedia.org/wiki/Shades_of_orange#Willpower_orange,#FD5800,99%,35%,0%,21°,100%,50%,100%,99%
Windsor tan,https://en.wikipedia.org/wiki/Tan_(color)#Windsor_tan,#A75502,65%,33%,1%,30°,98%,33%,99%,65%
Wine,https://en.wikipedia.org/wiki/Wine_(color),#722F37,45%,18%,22%,353°,42%,32%,59%,45%
Wine dregs,https://en.wikipedia.org/wiki/Wine_(color)#Wine_dregs,#673147,40%,19%,28%,336°,36%,30%,52%,40%
Winter Sky,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Extreme_Twistables_colors,#FF007C,100%,0%,49%,331°,100%,50%,100%,100%
Winter Wizard,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#A0E6FF,63%,90%,100%,196°,100%,81%,37%,100%
Wintergreen Dream,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#56887D,34%,53%,49%,167°,23%,44%,37%,53%
Wisteria,https://en.wikipedia.org/wiki/Wisteria_(color),#C9A0DC,79%,63%,86%,281°,46%,75%,27%,86%
Wood brown,https://en.wikipedia.org/wiki/Variations_of_brown#Wood_brown,#C19A6B,76%,60%,42%,33°,41%,59%,45%,76%
Xanadu,https://en.wikipedia.org/w/index.php?title=Xanadu_(color)&action=edit&redlink=1,#738678,45%,53%,47%,136°,8%,49%,14%,53%
Yale Blue,https://en.wikipedia.org/wiki/Yale_Blue,#0F4D92,6%,30%,57%,212°,81%,32%,90%,57%
Yankees blue,https://en.wikipedia.org/wiki/Shades_of_blue,#1C2841,11%,16%,25%,221°,40%,18%,57%,25%
Yellow,https://en.wikipedia.org/wiki/Yellow,#FFFF00,100%,100%,0%,60°,100%,50%,100%,100%
Yellow (Crayola),https://en.wikipedia.org/wiki/Shades_of_yellow#Yellow_.28Crayola.29,#FCE883,99%,91%,51%,50°,95%,75%,48%,99%
Yellow (Munsell),https://en.wikipedia.org/wiki/Shades_of_yellow#Yellow_.28Munsell.29,#EFCC00,94%,80%,0%,51°,100%,47%,100%,94%
Yellow (NCS),https://en.wikipedia.org/wiki/Shades_of_yellow#Yellow_.28NCS.29_.28psychological_primary_yellow.29,#FFD300,100%,83%,0%,50°,100%,50%,100%,100%
Yellow (Pantone),https://en.wikipedia.org/wiki/Shades_of_yellow#Yellow_.28Pantone.29,#FEDF00,100%,87%,0%,53°,100%,50%,100%,100%
Yellow (process),https://en.wikipedia.org/wiki/Yellow#Electric_yellow_vs._process_yellow,#FFEF00,100%,94%,0%,56°,100%,50%,100%,100%
Yellow (RYB),https://en.wikipedia.org/wiki/RYB_color_model,#FEFE33,100%,100%,20%,60°,99%,60%,80%,100%
Yellow-green,https://en.wikipedia.org/wiki/Chartreuse_(color)#Yellow-green,#9ACD32,60%,80%,20%,80°,61%,50%,76%,80%
Yellow Orange,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#FFAE42,100%,68%,26%,34°,100%,63%,74%,100%
Yellow rose,https://en.wikipedia.org/wiki/Shades_of_yellow,#FFF000,100%,94%,0%,56°,100%,50%,100%,100%
Yellow Sunshine,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#FFF700,100%,97%,0%,58°,100%,50%,100%,100%
Zaffre,https://en.wikipedia.org/wiki/Zaffre,#0014A8,0%,8%,66%,233°,100%,33%,100%,66%
Zinnwaldite brown,https://en.wikipedia.org/wiki/Zinnwaldite,#2C1608,17%,9%,3%,23°,69%,10%,82%,17%
Zomp,https://en.wikipedia.org/wiki/Spring_green#Zomp,#39A78E,22%,65%,56%,166°,49%,44%,66%,65%
